id,name,categories,rating,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
EmaHgp6Asne9crfA1XFPzA,shehnai restaurant authentic indian cuisine,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'buffets', 'title': 'Buffets'}]",3.0,43.2593,-79.88792,447 Main Street W,Hamilton,L8P 1K5,CA,ON
7LaTBlqKxftS-Or25dGGjQ,bastoni's shawarma & grill,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,43.25896,-79.87622,234 King Street W,Hamilton,L8P 1A9,CA,ON
MjSGD6_U9vC6UTVvtzcElg,victoria’s restaurant,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,43.26092688699526,-79.88324135551149,470 Main Street W,Hamilton,L8P 1B7,CA,ON
DZ4BUTej-Z0g1W-JsXFufQ,hammerheads fresh on locke,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'poke', 'title': 'Poke'}]",5.0,43.2566109880824,-79.88546280326133,140 Locke Street S,Hamilton,L8P 4B1,CA,ON
4QHM1lGCS-qRazoQnRKNgQ,vida la pita,"[{'alias': 'falafel', 'title': 'Falafel'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",2.5,43.2585425,-79.8758366,217 King Street W,Hamilton,L8P 1A7,CA,ON
ck9wVogpnUx1JD1PZiZ5wQ,mr. dumpling express,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.5,43.2607174625623,-79.8896683369355,50 Dundurn Street,Hamilton,L8P 4W3,CA,ON
pLdkorlkziPeCEpUCDjM-Q,firestone pizza wings & shawarma,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'poutineries', 'title': 'Poutineries'}]",2.5,43.25804,-79.87967,54 Queen Street S,Hamilton,L8P 3R5,CA,ON
HZuwg2fwQpyhyIkjOhmFKw,twist breakfast,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",1.0,43.25943,-79.87807,298 King St W,Hamilton,L8P 1B1,CA,ON
kYI9NiUrUOUVibPJfUbgag,fortinos,"[{'alias': 'grocery', 'title': 'Grocery'}]",4.5,43.261400015586,-79.888313706643,50 Dundurn Street S,Hamilton,L8P 4W3,CA,ON
v1hfabplC-E7jw51UVDC5A,mcdonald's,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,43.2602624793537,-79.8900094844083,50 Dundurn Street South,Hamilton,L8P 4W3,CA,ON
M55296Gw_K9Pzi0u-FyymA,lucky’s bbq,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,43.2585369,-79.87879954135238,116 George Street,Hamilton,L8P 1E2,CA,ON
1jd1vBl_feakkOue29NVIQ,meltwich,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}]",3.0,43.25894,-79.87629,236 King St W,Hamilton,L8P 1A9,CA,ON
lqgwxW7hmRGrH8AmQm0UGQ,koi,"[{'alias': 'japanese', 'title': 'Japanese'}]",3.5,43.25821,-79.87743,27 Hess St S,Hamilton,L8P 3M7,CA,ON
84QYuracPrsELQ1El1CZPg,the gown & gavel,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'bars', 'title': 'Bars'}]",2.5,43.2584,-79.87785,24 Hess Street S,Hamilton,L8P 3M8,CA,ON
bAHjMao8PWhDtOwXTDkMQw,doors: taco joint & metal bar,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",5.0,43.2572195,-79.8783555,56 Hess Street S,Hamilton,L8P 3N3,CA,ON
iQkrKVqEl0q0hM2FM92Z8Q,the beasley house bistro,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]",2.5,43.2582,-79.8847,96 Locke Street S,Hamilton,L8P 4A4,CA,ON
